Name,SMILES,CAS Number,Type,MolWt,ExactMolWt,LogP,NumHDonors,NumHAcceptors,NumRotatableBonds,TPSA,MolVolume
"Ethyl 2,3-dimethylbutanoate",CCOC(=O)C(C)C(C)C,54004-42-1,not biofuel,144.214,144.1150298,1.8416,0,2,3,26.3,40.635
1-Methylpropyl 2-methylpropanoate,CCC(C)OC(=O)C(C)C,23412-21-7,not biofuel,144.214,144.1150298,1.9841,0,2,3,26.3,40.683
"Methyl 2,3-dimethylpentanoate",CCC(C)C(C)C(=O)OC,21641-66-7,not biofuel,144.214,144.1150298,1.8416,0,2,3,26.3,40.635
"Methyl 2,4-dimethylpentanoate",COC(=O)C(C)CC(C)C,71672-33-8,not biofuel,144.214,144.1150298,1.8416,0,2,3,26.3,40.635
"Methyl 3,4-dimethylpentanoate",COC(=O)CC(C)C(C)C,30288-22-3,not biofuel,144.214,144.1150298,1.8416,0,2,3,26.3,40.635
"Ethyl 2,2-dimethylbutanoate",CCOC(=O)C(C)(C)CC,5129-40-8,not biofuel,144.214,144.1150298,1.9857,0,2,3,26.3,40.705
"2,2-Dimethylcyclohexanone",CC1(CCCCC1=O)C,1193-47-1,not biofuel,126.199,126.1044651,2.1557,0,1,0,17.07,37.256
"3,3-Dimethylcyclohexanone",CC1(CCCC(=O)C1)C,2979-19-3,not biofuel,126.199,126.1044651,2.1557,0,1,0,17.07,37.256
"4,4-Dimethylcyclohexanone",CC1(CCC(=O)CC1)C,4255-62-3,not biofuel,126.199,126.1044651,2.1557,0,1,0,17.07,37.256
"2,3-Dimethylcyclohexanone",CC1CCCC(=O)C1C,13395-76-1,not biofuel,126.199,126.1044651,2.0116,0,1,0,17.07,37.186
"2,4-Dimethylcyclohexanone",CC1CCC(=O)C(C1)C,823-55-2,not biofuel,126.199,126.1044651,2.0116,0,1,0,17.07,37.186
"2,5-Dimethylcyclohexanone",CC1CCC(C(=O)C1)C,932-51-4,not biofuel,126.199,126.1044651,2.0116,0,1,0,17.07,37.186
"3,4,4-Trimethyl-2-pentanone",CC(C(C)=O)C(C)(C)C,5340-45-4,not biofuel,128.215,128.1201151,2.2576,0,1,1,17.07,39.3
"2,2,4-Trimethyl-3-pentanone",CC(C)C(=O)C(C)(C)C,5857-36-3,not biofuel,128.215,128.1201151,2.2576,0,1,1,17.07,39.3
"2,4-Dimethyl-3-hexanone",CCC(C)C(=O)C(C)C,18641-70-8,not biofuel,128.215,128.1201151,2.2576,0,1,3,17.07,39.3
"2,5-Dimethyl-3-hexanone",CC(C)CC(=O)C(C)C,1888-57-9,not biofuel,128.215,128.1201151,2.2576,0,1,3,17.07,39.3
"4,5-Dimethyl-3-hexanone",CCC(=O)C(C)C(C)C,6137-14-0,not biofuel,128.215,128.1201151,2.2576,0,1,3,17.07,39.3
"3,3-Dimethyl-2-pentanone",CCC(C)(C)C(C)=O,20669-04-9,not biofuel,114.188,114.1044651,2.0116,0,1,2,17.07,34.753
"4,4-Dimethyl-2-pentanone",CC(=O)CC(C)(C)C,590-50-1,not biofuel,114.188,114.1044651,2.0116,0,1,1,17.07,34.753
"3,4-Dimethyl-2-pentanone",CC(C)C(C)C(C)=O,565-78-6,not biofuel,114.188,114.1044651,1.8675,0,1,2,17.07,34.683
"2,4-Dimethyl-3-pentanone",CC(C)C(=O)C(C)C,565-80-0,not biofuel,114.188,114.1044651,1.8675,0,1,2,17.07,34.683
3-Ethyl-2-pentanone,CCC(CC)C(C)=O,07/03/6137,not biofuel,114.188,114.1044651,2.0116,0,1,3,17.07,34.753
3-Hexanol,CCCC(O)CC,623-37-0,not biofuel,102.177,102.1044651,1.5574,1,1,3,20.23,31.2058
"2,2-Dimethylpentanol",CCCC(C)(C)CO,09/12/2370,not biofuel,116.204,116.1201151,1.805,1,1,3,20.23,35.7748
"3,3-Dimethylpentanol",CCC(C)(C)CCO,19264-94-9,not biofuel,116.204,116.1201151,1.805,1,1,3,20.23,35.7748
"4,4-Dimethylpentanol",CC(C)(C)CCCO,3121-79-7,not biofuel,116.204,116.1201151,1.805,1,1,2,20.23,35.7748
"2,3,3-Trimethylbutanol",CC(CO)C(C)(C)C,36794-64-6,not biofuel,116.204,116.1201151,1.6609,1,1,1,20.23,35.7048
2-Methyl-2-hexanol,CCCCC(C)(C)O,625-23-0,not biofuel,116.204,116.1201151,1.9475,1,1,3,20.23,35.8228
3-Methyl-3-hexanol,CCCC(C)(O)CC,597-96-6,not biofuel,116.204,116.1201151,1.9475,1,1,3,20.23,35.8228
2-Phenylpentane,CCCC(C)C1=CC=CC=C1,2719-52-0,not biofuel,148.249,148.1252005,3.5902,0,0,3,0,49.765
tert-Amylbenzene,CCC(C)(C)C1=CC=CC=C1,2049-95-8,not biofuel,148.249,148.1252005,3.3742,0,0,2,0,49.759
n-Decylbenzene,CCCCCCCCCCC1=CC=CC=C1,104-72-3,not biofuel,218.384,218.2034508,5.3698,0,0,9,0,72.756
