Name,SMILES,CAS,Type
"2,4-Dimethylhexane",CCC(C)CC(C)C,589-43-5,not biofuel
"2,5-Dimethylhexane",CC(C)CCC(C)C,592-13-2,not biofuel
"3,3-Dimethylhexane",CCCC(C)(C)CC,563-16-6,not biofuel
"2,2-Dimethylhexane",CCCCC(C)(C)C,590-73-8,not biofuel
"3,4-Dimethylhexane",CCC(C)C(C)CC,583-48-2,not biofuel
3-Ethylhexane,CCCC(CC)CC,619-99-8,not biofuel
"2,3-Dimethylpentane",CCC(C)C(C)C,565-59-3,not biofuel
"2,4-Dimethylpentane",CC(C)CC(C)C,108-08-7,not biofuel
3-Ethylpentane,CCC(CC)CC,617-78-7,not biofuel
"2,2,3-Trimethylbutane",CC(C)C(C)(C)C,464-06-2,not biofuel
2-Methylheptane,CCCCCC(C)C,592-27-8,not biofuel
